over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId
174568,6,3.82,7.0,0.0,0.0,7.0,21.0,0.0,3841,,6094,Marsh Sheffield Shield 2019-20,1,83,Western Australia Men,82,Victoria Men,2019-12-07T10:49:39Z,2,False,351,Chris Tremain,844,Jake Carder,783,Cameron Bancroft,322,83,Right,Extra Cover,0,0,0,0,LengthBall,Null,Played,0,Pushed,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,150,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
174568,6,3.82,7.0,0.0,0.0,7.0,21.0,0.0,3841,,6094,Marsh Sheffield Shield 2019-20,1,83,Western Australia Men,82,Victoria Men,2019-12-07T10:50:18Z,3,False,351,Chris Tremain,844,Jake Carder,783,Cameron Bancroft,332,165,Right,Deep Cover,4,0,4,4,BackOfALength,Null,Played,0,Drive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,150,False,False,False,False,False,False,4,0,0,0,0,False,False,,,,,
174568,6,3.82,7.0,0.0,0.0,7.0,21.0,0.0,3841,,6094,Marsh Sheffield Shield 2019-20,1,83,Western Australia Men,82,Victoria Men,2019-12-07T10:51:21Z,4,False,351,Chris Tremain,844,Jake Carder,783,Cameron Bancroft,334,139,Right,Deep Cover,2,0,2,2,BackOfALength,Null,Played,0,Drive,Null,Round,Fast,Left,Null,Null,False,False,False,False,False,False,150,False,False,False,False,False,False,2,0,0,0,0,False,False,,,,,
174568,6,3.82,7.0,0.0,0.0,7.0,21.0,0.0,3841,,6094,Marsh Sheffield Shield 2019-20,1,83,Western Australia Men,82,Victoria Men,2019-12-07T10:52:01Z,5,False,351,Chris Tremain,844,Jake Carder,783,Cameron Bancroft,109,105,Right,Short Fine Leg,1,0,1,1,HalfVolley,Null,Played,0,Flick,Null,Round,Fast,Left,Null,Null,False,False,False,False,False,False,150,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,
174568,6,3.82,7.0,0.0,0.0,7.0,21.0,0.0,3841,,6094,Marsh Sheffield Shield 2019-20,1,83,Western Australia Men,82,Victoria Men,2019-12-07T10:52:44Z,6,False,351,Chris Tremain,783,Cameron Bancroft,844,Jake Carder,282,66,Left,Silly Mid On,0,0,0,0,LengthBall,Null,Played,0,Pushed,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,150,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
174572,7,3.38,1.0,0.0,0.0,1.0,22.0,0.0,3841,,6094,Marsh Sheffield Shield 2019-20,1,83,Western Australia Men,82,Victoria Men,2019-12-07T10:53:55Z,1,False,20,Peter Siddle,844,Jake Carder,783,Cameron Bancroft,172,78,Right,Square Leg,1,0,1,1,LengthBall,Null,Played,0,Worked,Null,Round,Fast,Left,Null,Null,False,False,False,False,False,False,97,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,
174572,7,3.38,1.0,0.0,0.0,1.0,22.0,0.0,3841,,6094,Marsh Sheffield Shield 2019-20,1,83,Western Australia Men,82,Victoria Men,2019-12-07T10:54:33Z,2,False,20,Peter Siddle,783,Cameron Bancroft,844,Jake Carder,34,69,Left,Leg Gully,0,0,0,0,BackOfALength,Null,Played,0,Glance,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,97,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
174572,7,3.38,1.0,0.0,0.0,1.0,22.0,0.0,3841,,6094,Marsh Sheffield Shield 2019-20,1,83,Western Australia Men,82,Victoria Men,2019-12-07T10:55:14Z,3,False,20,Peter Siddle,783,Cameron Bancroft,844,Jake Carder,319,69,Left,Mid Wicket,0,0,0,0,LengthBall,Null,Played,0,Worked,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,97,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
174572,7,3.38,1.0,0.0,0.0,1.0,22.0,0.0,3841,,6094,Marsh Sheffield Shield 2019-20,1,83,Western Australia Men,82,Victoria Men,2019-12-07T10:55:48Z,4,False,20,Peter Siddle,783,Cameron Bancroft,844,Jake Carder,270,40,Left,Bowler,0,0,0,0,LengthBall,Null,Played,0,ForwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,97,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
174572,7,3.38,1.0,0.0,0.0,1.0,22.0,0.0,3841,,6094,Marsh Sheffield Shield 2019-20,1,83,Western Australia Men,82,Victoria Men,2019-12-07T10:56:19Z,5,False,20,Peter Siddle,783,Cameron Bancroft,844,Jake Carder,90,48,Left,Wicketkeeper,0,0,0,0,LengthBall,Null,Missed,0,ForwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,97,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
174572,7,3.38,1.0,0.0,0.0,1.0,22.0,0.0,3841,,6094,Marsh Sheffield Shield 2019-20,1,83,Western Australia Men,82,Victoria Men,2019-12-07T10:56:52Z,6,False,20,Peter Siddle,783,Cameron Bancroft,844,Jake Carder,185,13,Left,Silly Point,0,0,0,0,LengthBall,Null,HitBody,0,BackwardDefensive,Null,Over,Fast,Left,NotOut1stUmpire,Null,False,False,False,False,False,True,97,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,Lbw
174575,8,3.2,2.0,0.0,0.0,2.0,24.0,0.0,3841,,6094,Marsh Sheffield Shield 2019-20,1,83,Western Australia Men,82,Victoria Men,2019-12-07T10:57:45Z,1,False,351,Chris Tremain,844,Jake Carder,783,Cameron Bancroft,90,48,Right,Wicketkeeper,0,0,0,0,LengthBall,Null,NoShot,0,ShouldersArms,Null,Round,Fast,Left,Null,Null,False,False,False,False,False,False,150,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
174575,8,3.2,2.0,0.0,0.0,2.0,24.0,0.0,3841,,6094,Marsh Sheffield Shield 2019-20,1,83,Western Australia Men,82,Victoria Men,2019-12-07T10:58:18Z,2,False,351,Chris Tremain,844,Jake Carder,783,Cameron Bancroft,220,111,Right,Mid Wicket,1,0,1,1,Yorker,Null,Played,0,Flick,Null,Round,Fast,Left,Null,Null,False,False,False,False,False,False,150,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,
