over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
41170,6,,,,1.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:30:54Z,2,False,,,,472.0,,1371.0,Ross Taylor,160.0,Kane Williamson,165.0,83.0,Left,Backward Point,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41170,6,,,,1.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:31:25Z,3,False,,,,472.0,,1371.0,Ross Taylor,160.0,Kane Williamson,325.0,96.0,Left,Mid Wicket,1.0,0,1,1.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False
41170,6,,,,1.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:32:24Z,4,False,,,,472.0,,160.0,Kane Williamson,1371.0,Ross Taylor,149.0,75.0,Left,Backward Point,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41170,6,,,,1.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:32:57Z,5,False,,,,472.0,,160.0,Kane Williamson,1371.0,Ross Taylor,197.0,85.0,Left,Cover,0.0,0,0,0.0,,BackOfALength,OutsideOff,NotOut,None,BackFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41170,6,,,,1.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:33:27Z,6,False,,,,472.0,,160.0,Kane Williamson,1371.0,Ross Taylor,169.0,77.0,Left,Backward Point,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41171,7,,,,8.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:34:35Z,1,False,,,,213.0,,1371.0,Ross Taylor,160.0,Kane Williamson,90.0,48.0,Left,Wicketkeeper,1.0,1,1,0.0,,Short,OutsideOff,NotOut,Left,BackFoot,NoShot,NoMovement,Over,Fast,Left,Null,Null,True,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,1.0,0.0,0.0,False,False
41171,7,,,,8.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:35:13Z,1,False,,,,213.0,,1371.0,Ross Taylor,160.0,Kane Williamson,195.0,79.0,Left,Cover,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41171,7,,,,8.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:35:50Z,2,False,,,,213.0,,1371.0,Ross Taylor,160.0,Kane Williamson,217.0,51.0,Left,Short Extra Cover,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41171,7,,,,8.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:36:27Z,3,False,,,,213.0,,1371.0,Ross Taylor,160.0,Kane Williamson,16.0,140.0,Left,Deep Backward Square Leg,2.0,0,2,2.0,,LengthBall,OutsideOff,NotOut,None,DownTheTrack,Flick,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False
41171,7,,,,8.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:37:09Z,4,False,,,,213.0,,1371.0,Ross Taylor,160.0,Kane Williamson,331.0,193.0,Left,Deep Mid Wicket,4.0,0,4,4.0,,BackOfALength,OutsideOff,NotOut,WellTimed,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,False
41171,7,,,,8.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:37:51Z,5,False,,,,213.0,,1371.0,Ross Taylor,160.0,Kane Williamson,320.0,70.0,Left,Mid Wicket,1.0,0,1,1.0,,LengthBall,OffStump,NotOut,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False
41171,7,,,,8.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:38:30Z,6,False,,,,213.0,,160.0,Kane Williamson,1371.0,Ross Taylor,146.0,51.0,Left,Fourth Slip,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41172,8,,,,5.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:39:28Z,1,False,,,,472.0,,1371.0,Ross Taylor,160.0,Kane Williamson,270.0,40.0,Left,Bowler,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,DownTheTrack,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41172,8,,,,5.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,,2,False,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
41172,8,,,,5.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:40:31Z,3,False,,,,472.0,,1371.0,Ross Taylor,160.0,Kane Williamson,302.0,195.0,Left,Long On,4.0,0,4,4.0,,LengthBall,OutsideOff,NotOut,WellTimed,DownTheTrack,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,True,145.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True
