over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude,matchName
1605102,6,10.17,9,0,0,61,2,9,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546085,2026-07-01T17:00:29Z,6,37,False,,,,474,Will Jacks,10922,Shreyas Iyer,2665,Abhishek Sharma,Right,Deep Mid Wicket,1,0,1,1,,BackOfALength,LegStump,,WellTimed,BackFoot,Worked,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,315.0,124.0,
1605103,7,10.29,11,0,0,72,2,11,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546086,2026-07-01T17:01:41Z,1,38,False,,,,200,Adil Rashid,10922,Shreyas Iyer,2665,Abhishek Sharma,Right,Deep Square Leg,1,0,1,1,,BackOfALength,LegStump,,WellTimed,BackFoot,Worked,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,342.0,124.0,
1605103,7,10.29,11,0,0,72,2,11,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546087,2026-07-01T17:02:14Z,2,39,False,,,,200,Adil Rashid,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,Long On,1,0,1,1,,BackOfALength,OutsideOff,,WellTimed,BackFoot,Worked,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,242.0,130.0,
1605103,7,10.29,11,0,0,72,2,11,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546088,2026-07-01T17:02:56Z,3,40,False,,,,200,Adil Rashid,10922,Shreyas Iyer,2665,Abhishek Sharma,Right,Deep Mid Wicket,2,0,2,2,,HalfVolley,OffStump,,WellTimed,FrontFoot,Flick,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,2,0,0,0,0,False,False,305.0,144.0,
1605103,7,10.29,11,0,0,72,2,11,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546089,2026-07-01T17:03:27Z,4,41,False,,,,200,Adil Rashid,10922,Shreyas Iyer,2665,Abhishek Sharma,Right,,4,0,4,4,,BackOfALength,OutsideOff,,Middled,BackFoot,Pull,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,4,0,0,0,0,True,False,312.0,177.0,
1605103,7,10.29,11,0,0,72,2,11,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546090,2026-07-01T17:04:03Z,5,42,False,,,,200,Adil Rashid,10922,Shreyas Iyer,2665,Abhishek Sharma,Right,Fine Leg,1,0,1,1,,BackOfALength,MiddleStump,,None,BackFoot,Pull,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,30.0,128.0,
1605103,7,10.29,11,0,0,72,2,11,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546091,2026-07-01T17:04:28Z,6,43,False,,,,200,Adil Rashid,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,Deep Extra Cover,2,0,2,2,,LengthBall,OffStump,,None,FrontFoot,Drive,Googly,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,False,False,False,False,2,0,0,0,0,False,False,311.0,162.0,
1605104,8,10.88,15,0,0,87,2,15,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546092,2026-07-01T17:05:32Z,1,44,False,,,,474,Will Jacks,10922,Shreyas Iyer,2665,Abhishek Sharma,Right,Deep Square Leg,2,0,2,2,,BackOfALength,MiddleStump,,WellTimed,BackFoot,Worked,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,2,0,0,0,0,False,False,357.0,133.0,
1605104,8,10.88,15,0,0,87,2,15,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546093,2026-07-01T17:05:59Z,2,45,False,,,,474,Will Jacks,10922,Shreyas Iyer,2665,Abhishek Sharma,Right,Deep Backward Point,1,0,1,1,,LengthBall,OutsideOff,,None,FrontFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,176.0,135.0,
1605104,8,10.88,15,0,0,87,2,15,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546094,2026-07-01T17:06:30Z,3,46,False,,,,474,Will Jacks,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,Deep Extra Cover,1,0,1,1,,BackOfALength,OutsideOff,,None,FrontFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,328.0,136.0,
