over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,matchName
1602596,6,6.0,3,0,0,36,3,3,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530937,2026-06-26T13:01:21Z,5,37,False,,,,10208,Harshit Rana,2259,Lorcan Tucker,4097,Ben Calitz,,,Right,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,,Missed,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602596,6,6.0,3,0,0,36,3,3,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530939,2026-06-26T13:02:03Z,6,38,False,,,,10208,Harshit Rana,2259,Lorcan Tucker,4097,Ben Calitz,,,Right,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,,Missed,FrontFoot,ForwardDefensive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602599,7,7.29,15,0,0,51,3,15,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530943,2026-06-26T13:04:37Z,1,39,False,,,,304,Prasidh Krishna,4097,Ben Calitz,2259,Lorcan Tucker,,,Left,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,,Missed,BackFoot,Pushed,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,
1602599,7,7.29,15,0,0,51,3,15,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530945,2026-06-26T13:05:07Z,2,40,False,,,,304,Prasidh Krishna,4097,Ben Calitz,2259,Lorcan Tucker,125.0,162.0,Left,,6,0,6,6,,BackOfALength,OutsideOff,,TopEdge,MovesInfront,Pull,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,6,0,0,0,0,True,True,
1602599,7,7.29,15,0,0,51,3,15,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530947,2026-06-26T13:05:46Z,3,41,False,,,,304,Prasidh Krishna,4097,Ben Calitz,2259,Lorcan Tucker,335.0,25.0,Left,Cover,1,0,1,1,,,,,,0,,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,
1602599,7,7.29,15,0,0,51,3,15,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530948,2026-06-26T13:06:27Z,4,42,False,,,,304,Prasidh Krishna,2259,Lorcan Tucker,4097,Ben Calitz,174.0,48.0,Right,Backward Point,1,0,1,1,,BackOfALength,OutsideOff,,Spliced,BackFoot,Pushed,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,
1602599,7,7.29,15,0,0,51,3,15,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530951,2026-06-26T13:07:07Z,5,43,False,,,,304,Prasidh Krishna,4097,Ben Calitz,2259,Lorcan Tucker,283.0,180.0,Left,,6,0,6,6,,HalfVolley,OutsideOff,,Middled,DownTheTrack,Drive,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,False,False,False,False,6,0,0,0,0,True,False,
1602599,7,7.29,15,0,0,51,3,15,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530952,2026-06-26T13:07:44Z,6,44,False,,,,304,Prasidh Krishna,4097,Ben Calitz,2259,Lorcan Tucker,173.0,106.0,Left,Deep Backward Square Leg,1,0,1,1,,BackOfALength,OutsideOff,,None,BackFoot,Worked,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,
1602601,8,7.12,6,1,0,57,4,6,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530954,2026-06-26T13:08:59Z,1,45,True,Caught,4097.0,Ben Calitz,2465,Shivam Dube,4097,Ben Calitz,2259,Lorcan Tucker,123.0,117.0,Left,Fine Leg,0,0,0,0,Caught,BackOfALength,LegStump,Caught,TopEdge,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,1828.0,False,False,False,False,False,False,0,0,0,0,0,False,True,
1602601,8,7.12,6,1,0,57,4,6,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530957,2026-06-26T13:10:58Z,2,46,False,,,,2465,Shivam Dube,2942,Gareth Delany,2259,Lorcan Tucker,187.0,49.0,Right,Cover,0,0,0,0,,LengthBall,OutsideOff,,None,FrontFoot,Pushed,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,
