over_id,over_overNumber,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,over_runsConceded,over_wickets,over_runsExtras
45724,7,6.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:05:09Z,6,False,1149.0,Pat Cummins,203.0,,206.0,,337.0,153.0,Left,Deep Mid Wicket,2.0,0,2,2.0,BackOfALength,LegStump,NotOut,None,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,83.0,False,False,False,False,True,False,2.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45726,8,11.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:06:07Z,1,False,852.0,Adam Zampa,206.0,,203.0,,207.0,141.0,Left,Deep Cover,2.0,0,2,2.0,HalfVolley,OffStump,NotOut,None,DownTheTrack,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,True,89.0,False,False,False,False,True,False,2.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45726,8,11.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:06:33Z,2,False,852.0,Adam Zampa,206.0,,203.0,,289.0,140.0,Left,Long On,1.0,0,1,1.0,LengthBall,MiddleStump,NotOut,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,True,89.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45726,8,11.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:07:00Z,3,False,852.0,Adam Zampa,203.0,,206.0,,297.0,153.0,Left,Long On,1.0,0,1,1.0,BackOfALength,LegStump,NotOut,MisTimed,DownTheTrack,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,True,89.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45726,8,11.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:07:38Z,4,True,852.0,Adam Zampa,206.0,,203.0,,292.0,154.0,Left,Long On,0.0,0,0,0.0,LengthBall,LegStump,NotOut,None,DownTheTrack,Slog,LegSpinner,Over,LegSpin,Left,Out1stUmpire,Null,False,False,False,False,False,True,89.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,Caught,206.0,,Caught,,,
45726,8,11.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:10:01Z,5,False,852.0,Adam Zampa,209.0,,203.0,,280.0,159.0,Right,Long Off,1.0,0,1,1.0,LengthBall,OffStump,NotOut,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,True,89.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45726,8,11.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:10:31Z,6,False,852.0,Adam Zampa,203.0,,209.0,,271.0,193.0,Left,Long On,6.0,0,6,6.0,LengthBall,OutsideOff,NotOut,Middled,DownTheTrack,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,True,True,89.0,False,False,False,False,True,False,6.0,0.0,0.0,0.0,0.0,False,True,,,,,,,
45728,9,4.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:12:00Z,1,False,286.0,D'Arcy Short,209.0,,203.0,,171.0,152.0,Right,Deep Backward Square Leg,1.0,0,1,1.0,LengthBall,OffStump,NotOut,None,BackFoot,Pull,LeftArmLegspin,Over,Unorthodox,Right,Null,Null,False,False,False,False,False,True,83.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45728,9,4.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:12:41Z,2,False,286.0,D'Arcy Short,203.0,,209.0,,298.0,129.0,Left,Mid On,1.0,0,1,1.0,LengthBall,LegStump,NotOut,None,BackFoot,Worked,LeftArmLegspin,Over,Unorthodox,Right,Null,Null,False,False,False,False,False,True,83.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45728,9,4.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:13:07Z,3,False,286.0,D'Arcy Short,209.0,,203.0,,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,LengthBall,OutsideOff,NotOut,Missed,NoMovement,Cut,LeftArmLegspin,Over,Unorthodox,Right,Null,Null,False,False,False,False,False,True,83.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
