over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,over_runrate,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId
64385,16,6.0,0.0,0.0,,,6.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:38:36Z,6,False,,,,643.0,Abidine Sakande,80.0,Stephen Eskinazi,81.0,Dawid Malan,5.0,152.0,Left,Deep Square Leg,2.0,0,2,2.0,,LengthBall,Null,Played,0,Pull,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,31.0,False,False,False,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False,
64388,17,7.0,0.0,0.0,,,7.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:41:55Z,1,False,,,,2684.0,George Garton,81.0,Dawid Malan,80.0,Stephen Eskinazi,42.0,100.0,Right,Short Third Man,1.0,0,1,1.0,,LengthBall,Null,Played,0,Steer,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
64388,17,7.0,0.0,0.0,,,7.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:42:32Z,2,False,,,,2684.0,George Garton,80.0,Stephen Eskinazi,81.0,Dawid Malan,328.0,47.0,Left,Short Mid Wicket,0.0,0,0,0.0,,LengthBall,Null,Played,0,Worked,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64388,17,7.0,0.0,0.0,,,7.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:43:00Z,3,False,,,,2684.0,George Garton,80.0,Stephen Eskinazi,81.0,Dawid Malan,183.0,108.0,Left,Point,1.0,0,1,1.0,,Yorker,Null,Played,0,Steer,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
64388,17,7.0,0.0,0.0,,,7.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:43:28Z,4,False,,,,2684.0,George Garton,81.0,Dawid Malan,80.0,Stephen Eskinazi,7.0,51.0,Right,Gully,0.0,0,0,0.0,,LengthBall,Null,Played,0,Steer,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64388,17,7.0,0.0,0.0,,,7.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:43:58Z,5,False,,,,2684.0,George Garton,81.0,Dawid Malan,80.0,Stephen Eskinazi,156.0,99.0,Right,Backward Square Leg,1.0,0,1,1.0,,LengthBall,Null,Played,0,Flick,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
64388,17,7.0,0.0,0.0,,,7.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:44:26Z,6,False,,,,2684.0,George Garton,80.0,Stephen Eskinazi,81.0,Dawid Malan,20.0,171.0,Left,Deep Backward Square Leg,4.0,0,4,4.0,,BackOfALength,Null,HitHard,0,Pull,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,
64390,18,15.0,0.0,1.0,,,15.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:46:01Z,1,False,,,,338.0,Laurie Evans,81.0,Dawid Malan,80.0,Stephen Eskinazi,90.0,48.0,Right,Wicketkeeper,1.0,1,1,0.0,,LengthBall,Null,MissedLegSide,0,Glance,Null,Round,OffSpin,Left,Null,Null,True,False,False,False,False,False,31.0,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,False,False,
64390,18,15.0,0.0,1.0,,,15.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:46:23Z,1,False,,,,338.0,Laurie Evans,81.0,Dawid Malan,80.0,Stephen Eskinazi,214.0,74.0,Right,Mid Wicket,0.0,0,0,0.0,,LengthBall,Null,Played,0,Flick,Null,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,31.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64390,18,15.0,0.0,1.0,,,15.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:46:38Z,2,False,,,,338.0,Laurie Evans,81.0,Dawid Malan,80.0,Stephen Eskinazi,323.0,191.0,Right,Deep Extra Cover,4.0,0,4,4.0,,LengthBall,Null,HitHard,0,Drive,Null,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,31.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,False,
