over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude,fieldingPosition
1630951,6,5.5,9,0,0,33,0,9,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710660,2026-08-22T00:56:55Z,6,38,False,,,,11542,Muhammad Abbas,3576,Henry Hunt,21963,Connor Carroll,Right,2,0,2,2,,LengthBall,DownLeg,,None,FrontFoot,Flick,SlowerBall,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,2,0,0,0,0,False,False,336.0,143.0,Deep Square Leg
1630954,7,5.43,5,0,0,38,0,5,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710667,2026-08-22T00:58:32Z,1,39,False,,,,3788,Jayden Lennox,21963,Connor Carroll,3576,Henry Hunt,Left,0,0,0,0,,LengthBall,MiddleStump,,Missed,FrontFoot,ReverseSweep,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,,Wicketkeeper
1630954,7,5.43,5,0,0,38,0,5,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710668,2026-08-22T00:58:51Z,2,40,False,,,,3788,Jayden Lennox,21963,Connor Carroll,3576,Henry Hunt,Left,1,0,1,1,,LengthBall,MiddleStump,,None,FrontFoot,Slog,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,203.0,140.0,Deep Square Leg
1630954,7,5.43,5,0,0,38,0,5,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710671,2026-08-22T00:59:43Z,3,41,False,,,,3788,Jayden Lennox,3576,Henry Hunt,21963,Connor Carroll,Right,1,0,1,1,,LengthBall,OutsideOff,,MisTimed,FrontFoot,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,True,194.0,123.0,Deep Cover
1630954,7,5.43,5,0,0,38,0,5,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710674,2026-08-22T01:00:10Z,4,42,False,,,,3788,Jayden Lennox,21963,Connor Carroll,3576,Henry Hunt,Left,2,0,2,2,,BackOfALength,MiddleStump,,None,BackFoot,Cut,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,True,True,False,False,False,False,False,False,2,0,0,0,0,False,False,338.0,147.0,Deep Cover
1630954,7,5.43,5,0,0,38,0,5,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710675,2026-08-22T01:00:37Z,5,43,False,,,,3788,Jayden Lennox,21963,Connor Carroll,3576,Henry Hunt,Left,0,0,0,0,,BackOfALength,LegStump,,Missed,FrontFoot,ReverseSweep,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,,Wicketkeeper
1630954,7,5.43,5,0,0,38,0,5,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710678,2026-08-22T01:00:57Z,6,44,False,,,,3788,Jayden Lennox,21963,Connor Carroll,3576,Henry Hunt,Left,1,0,1,1,,HalfVolley,DownLeg,,None,FrontFoot,Flick,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,213.0,141.0,Deep Mid Wicket
1630957,8,5.62,7,1,0,45,1,7,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710683,2026-08-22T01:02:17Z,1,45,False,,,,14048,Josh Clarkson,21963,Connor Carroll,3576,Henry Hunt,Left,0,0,0,0,,LengthBall,OutsideOff,,None,FrontFoot,Drive,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,319.0,69.0,Extra Cover
1630957,8,5.62,7,1,0,45,1,7,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710685,2026-08-22T01:02:46Z,2,46,False,,,,14048,Josh Clarkson,21963,Connor Carroll,3576,Henry Hunt,Left,6,0,6,6,,LengthBall,OffStump,,WellTimed,BackFoot,SwitchHit,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,False,False,False,False,6,0,0,0,0,True,False,30.0,165.0,
1630957,8,5.62,7,1,0,45,1,7,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710690,2026-08-22T01:04:47Z,3,47,False,,,,14048,Josh Clarkson,21963,Connor Carroll,3576,Henry Hunt,Left,0,0,0,0,,BackOfALength,OutsideOff,,None,BackFoot,Drive,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,353.0,66.0,Cover
