over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,fieldingPosition,decisionOfficialId
1632243,7,7.43,5,1,0,52,3,5,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718329,2026-08-23T07:58:26Z,3,39,False,21124,Abdul Gaffar,8520,Teague Wyllie,3776,Brad Hope,304.0,114.0,Right,1,0,1,1,LengthBall,OutsideOff,None,MovesInfront,Worked,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Deep Mid Wicket,
1632243,7,7.43,5,1,0,52,3,5,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718332,2026-08-23T07:59:08Z,4,40,True,21124,Abdul Gaffar,3776,Brad Hope,8520,Teague Wyllie,,,Right,0,0,0,0,LengthBall,OutsideOff,BottomEdge,BackFoot,Cut,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Bowled,3776.0,Brad Hope,Bowled,Bowled,,2013.0
1632243,7,7.43,5,1,0,52,3,5,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718336,2026-08-23T08:00:54Z,5,41,False,21124,Abdul Gaffar,4200,Tim Ward,8520,Teague Wyllie,0.0,0.0,Left,0,0,0,0,LengthBall,OutsideOff,Missed,FrontFoot,Drive,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,,Wicketkeeper,
1632243,7,7.43,5,1,0,52,3,5,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718337,2026-08-23T08:01:28Z,6,42,False,21124,Abdul Gaffar,4200,Tim Ward,8520,Teague Wyllie,340.0,148.0,Left,1,0,1,1,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Deep Cover,
1632245,8,7.75,10,0,0,62,3,10,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718341,2026-08-23T08:02:47Z,1,43,False,8637,SM Meherob Hasan,4200,Tim Ward,8520,Teague Wyllie,227.0,96.0,Left,1,0,1,1,BackOfALength,OffStump,None,BackFoot,Worked,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Mid Wicket,
1632245,8,7.75,10,0,0,62,3,10,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718342,2026-08-23T08:03:35Z,2,44,False,8637,SM Meherob Hasan,8520,Teague Wyllie,4200,Tim Ward,218.0,125.0,Right,1,0,1,1,BackOfALength,OutsideOff,None,BackFoot,Drive,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Deep Extra Cover,
1632245,8,7.75,10,0,0,62,3,10,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718344,2026-08-23T08:04:05Z,3,45,False,8637,SM Meherob Hasan,4200,Tim Ward,8520,Teague Wyllie,13.0,139.0,Left,2,0,2,2,BackOfALength,OffStump,None,BacksAway,Cut,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,2,0,0,0,0,False,False,,,,,,Deep Backward Point,
1632245,8,7.75,10,0,0,62,3,10,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718345,2026-08-23T08:04:33Z,4,46,False,8637,SM Meherob Hasan,4200,Tim Ward,8520,Teague Wyllie,143.0,164.0,Left,4,0,4,4,BackOfALength,OffStump,WellTimed,BackFoot,Pull,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,4,0,0,0,0,True,False,,,,,,,
1632245,8,7.75,10,0,0,62,3,10,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718347,2026-08-23T08:05:05Z,5,47,False,8637,SM Meherob Hasan,4200,Tim Ward,8520,Teague Wyllie,289.0,145.0,Left,1,0,1,1,BackOfALength,OffStump,None,BackFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Long Off,
1632245,8,7.75,10,0,0,62,3,10,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718349,2026-08-23T08:05:37Z,6,48,False,8637,SM Meherob Hasan,8520,Teague Wyllie,4200,Tim Ward,286.0,141.0,Right,1,0,1,1,BackOfALength,OutsideOff,None,BackFoot,Pull,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Long On,
1632247,9,7.56,6,0,0,68,3,6,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718351,2026-08-23T08:06:37Z,1,49,False,21124,Abdul Gaffar,8520,Teague Wyllie,4200,Tim Ward,252.0,161.0,Right,1,0,1,1,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Long Off,
1632247,9,7.56,6,0,0,68,3,6,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718353,2026-08-23T08:07:13Z,2,50,False,21124,Abdul Gaffar,4200,Tim Ward,8520,Teague Wyllie,0.0,0.0,Left,0,0,0,0,LengthBall,OutsideOff,Missed,MovesInfront,Scoop,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,,Wicketkeeper,
1632247,9,7.56,6,0,0,68,3,6,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718354,2026-08-23T08:07:48Z,3,51,False,21124,Abdul Gaffar,4200,Tim Ward,8520,Teague Wyllie,23.0,127.0,Left,1,0,1,1,BackOfALength,OutsideOff,None,BackFoot,Cut,OffCutter,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Deep Backward Point,
