over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty
1117136,15,5.13,5.0,1.0,1.0,77.0,5.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:33:29Z,1,70,False,,,,3421.0,Georgia Davis,412.0,Georgia Adams,1029.0,Chloe Tryon,90.0,48.0,Wicketkeeper,1.0,1,1,0.0,,LengthBall,DownLeg,NotOut,PlayAndMissLegSide,FrontFoot,Sweep,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,True,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,1.0,0.0,0.0,False,False,0.0
1117136,15,5.13,5.0,1.0,1.0,77.0,5.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:34:07Z,2,72,True,Caught,1029.0,Chloe Tryon,3421.0,Georgia Davis,1029.0,Chloe Tryon,412.0,Georgia Adams,325.0,60.0,Short Mid Wicket,0.0,0,0,0.0,Caught,LengthBall,DownLeg,NotOut,MisTimed,DownTheTrack,Flick,OffBreak,Round,OffSpin,Right,Out1stUmpire,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,1.0
1117136,15,5.13,5.0,1.0,1.0,77.0,5.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:35:39Z,3,73,False,,,,3421.0,Georgia Davis,394.0,Mady Villiers,412.0,Georgia Adams,248.0,110.0,Mid Off,1.0,0,1,1.0,,LengthBall,LegStump,NotOut,None,FrontFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,True,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0
1117136,15,5.13,5.0,1.0,1.0,77.0,5.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:36:04Z,4,74,False,,,,3421.0,Georgia Davis,412.0,Georgia Adams,394.0,Mady Villiers,345.0,142.0,Deep Mid Wicket,1.0,0,1,1.0,,LengthBall,DownLeg,NotOut,None,DownTheTrack,Worked,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0
1117136,15,5.13,5.0,1.0,1.0,77.0,5.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:36:21Z,5,75,False,,,,3421.0,Georgia Davis,394.0,Mady Villiers,412.0,Georgia Adams,2.0,145.0,Deep Square Leg,1.0,0,1,1.0,,LengthBall,DownLeg,NotOut,None,BackFoot,Worked,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,True,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0
1117140,16,5.31,8.0,0.0,0.0,85.0,5.0,8.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:37:32Z,1,76,False,,,,384.0,Freya Davies,412.0,Georgia Adams,394.0,Mady Villiers,343.0,147.0,Deep Mid Wicket,1.0,0,1,1.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Flick,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
1117140,16,5.31,8.0,0.0,0.0,85.0,5.0,8.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:38:09Z,2,77,False,,,,384.0,Freya Davies,394.0,Mady Villiers,412.0,Georgia Adams,195.0,137.0,Deep Cover,1.0,0,1,1.0,,LengthBall,Wide,NotOut,MisTimed,FrontFoot,Drive,SlowerBall,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
1117140,16,5.31,8.0,0.0,0.0,85.0,5.0,8.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:38:39Z,3,78,False,,,,384.0,Freya Davies,412.0,Georgia Adams,394.0,Mady Villiers,59.0,187.0,Fine Leg,4.0,0,4,4.0,,BackOfALength,OutsideOff,NotOut,WellTimed,BackFoot,Slog,SlowerBall,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,
1117140,16,5.31,8.0,0.0,0.0,85.0,5.0,8.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:39:12Z,4,79,False,,,,384.0,Freya Davies,412.0,Georgia Adams,394.0,Mady Villiers,201.0,150.0,Deep Cover,2.0,0,2,2.0,,LengthBall,OutsideOff,NotOut,None,BackFoot,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False,
1117140,16,5.31,8.0,0.0,0.0,85.0,5.0,8.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:39:40Z,5,80,False,,,,384.0,Freya Davies,412.0,Georgia Adams,394.0,Mady Villiers,200.0,6.0,Silly Point,0.0,0,0,0.0,,Yorker,LegStump,NotOut,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
