over_id,over_overNumber,over_runrate,over_totalInningRuns,over_totalInningWickets,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
49413,6,,45,2,9.0,0.0,0.0,9.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,6,False,Mid On,0,1,False,False,2019-03-24T15:03:35Z,210.0,,204.0,,1192.0,Colin Ingram,245.0,92.0,Right,1.0,1.0,HalfVolley,MiddleStump,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49415,7,,49,2,4.0,0.0,0.0,4.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,1,False,Silly Point,0,0,False,False,2019-03-24T15:08:37Z,2477.0,Rasikh Salam,204.0,,1192.0,Colin Ingram,337.0,13.0,Right,0.0,0.0,LengthBall,OutsideOff,HitPad,FrontFoot,Worked,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
49415,7,,49,2,4.0,0.0,0.0,4.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,2,False,Short Leg,0,1,False,False,2019-03-24T15:09:16Z,2477.0,Rasikh Salam,204.0,,1192.0,Colin Ingram,190.0,40.0,Right,1.0,1.0,LengthBall,OutsideOff,InsideEdge,FrontFoot,Worked,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49415,7,,49,2,4.0,0.0,0.0,4.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,3,False,Silly Mid Off,0,0,False,False,2019-03-24T15:09:53Z,2477.0,Rasikh Salam,1192.0,Colin Ingram,204.0,,303.0,42.0,Right,0.0,0.0,LengthBall,OutsideOff,MisTimed,FrontFoot,Drive,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
49415,7,,49,2,4.0,0.0,0.0,4.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,4,False,Bowler,0,0,False,False,2019-03-24T15:10:28Z,2477.0,Rasikh Salam,1192.0,Colin Ingram,204.0,,270.0,40.0,Right,0.0,0.0,LengthBall,OutsideOff,None,FrontFoot,Pushed,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
49415,7,,49,2,4.0,0.0,0.0,4.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,5,False,Cover,0,1,False,False,2019-03-24T15:11:02Z,2477.0,Rasikh Salam,1192.0,Colin Ingram,204.0,,349.0,75.0,Right,1.0,1.0,BackOfALength,OutsideOff,MisTimed,BackFoot,Drive,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49415,7,,49,2,4.0,0.0,0.0,4.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,6,False,Deep Extra Cover,0,2,False,False,2019-03-24T15:12:00Z,2477.0,Rasikh Salam,204.0,,1192.0,Colin Ingram,313.0,159.0,Right,2.0,2.0,LengthBall,OutsideOff,None,DownTheTrack,Drive,OffCutter,Round,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,2.0,0.0,0.0,0.0,0.0,,,,
49417,8,,62,2,13.0,0.0,0.0,13.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,1,False,Deep Backward Point,0,4,False,True,2019-03-24T15:13:30Z,210.0,,1192.0,Colin Ingram,204.0,,14.0,175.0,Right,4.0,4.0,BackOfALength,LegStump,WellTimed,BackFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,38.0,False,False,False,False,True,False,4.0,0.0,0.0,0.0,0.0,,,,
49417,8,,62,2,13.0,0.0,0.0,13.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,2,False,Cover,0,0,False,False,2019-03-24T15:14:07Z,210.0,,1192.0,Colin Ingram,204.0,,341.0,69.0,Right,0.0,0.0,BackOfALength,OutsideOff,MisTimed,MovesInfront,Cut,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
49417,8,,62,2,13.0,0.0,0.0,13.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,3,False,Third Man,0,1,False,False,2019-03-24T15:14:37Z,210.0,,1192.0,Colin Ingram,204.0,,31.0,135.0,Right,1.0,1.0,LengthBall,MiddleStump,None,FrontFoot,Steer,OffCutter,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49417,8,,62,2,13.0,0.0,0.0,13.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,4,False,Mid Off,0,1,False,False,2019-03-24T15:15:16Z,210.0,,204.0,,1192.0,Colin Ingram,283.0,89.0,Right,1.0,1.0,HalfVolley,OffStump,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49417,8,,62,2,13.0,0.0,0.0,13.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,5,False,Deep Mid Wicket,0,6,False,True,2019-03-24T15:15:45Z,210.0,,1192.0,Colin Ingram,204.0,,217.0,182.0,Right,6.0,6.0,Short,LegStump,WellTimed,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,38.0,False,False,False,False,True,False,6.0,0.0,0.0,0.0,0.0,,,,
49417,8,,62,2,13.0,0.0,0.0,13.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,6,False,Deep Cover,0,1,False,False,2019-03-24T15:16:23Z,210.0,,1192.0,Colin Ingram,204.0,,345.0,122.0,Right,1.0,1.0,BackOfALength,OffStump,None,BackFoot,Cut,OffCutter,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49423,9,,70,2,8.0,0.0,0.0,8.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,1,False,Deep Square Leg,0,4,False,True,2019-03-24T15:17:41Z,280.0,,1192.0,Colin Ingram,204.0,,187.0,171.0,Right,4.0,4.0,BackOfALength,LegStump,WellTimed,BackFoot,Pull,StockBall,Over,Orthodox,Right,Null,Null,False,False,False,False,True,False,117.0,False,False,False,False,True,False,4.0,0.0,0.0,0.0,0.0,,,,
49423,9,,70,2,8.0,0.0,0.0,8.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,2,False,Cover,0,1,False,False,2019-03-24T15:18:09Z,280.0,,1192.0,Colin Ingram,204.0,,338.0,81.0,Right,1.0,1.0,LengthBall,OutsideOff,None,BackFoot,Pushed,StockBall,Over,Orthodox,Right,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49423,9,,70,2,8.0,0.0,0.0,8.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,3,False,Extra Cover,0,0,False,False,2019-03-24T15:18:37Z,280.0,,204.0,,1192.0,Colin Ingram,328.0,77.0,Right,0.0,0.0,HalfVolley,OutsideOff,None,FrontFoot,Pushed,StockBall,Over,Orthodox,Right,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
49423,9,,70,2,8.0,0.0,0.0,8.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,4,False,Deep Point,0,1,False,False,2019-03-24T15:18:53Z,280.0,,204.0,,1192.0,Colin Ingram,2.0,154.0,Right,1.0,1.0,LengthBall,OutsideOff,None,FrontFoot,Drive,StockBall,Over,Orthodox,Right,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49423,9,,70,2,8.0,0.0,0.0,8.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,5,False,Long On,0,1,False,False,2019-03-24T15:19:17Z,280.0,,1192.0,Colin Ingram,204.0,,236.0,141.0,Right,1.0,1.0,LengthBall,MiddleStump,None,BackFoot,Worked,StockBall,Over,Orthodox,Right,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
