over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude
1626233,18,6.72,8,1,0,121,6,8,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672432,2026-08-11T18:39:20Z,5,92,False,,,,7795,Sonny Baker,2672,Brydon Carse,10322,Tom Lawes,Right,,4,0,4,4,,LengthBall,OutsideOff,,WellTimed,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,False,False,False,False,4,0,0,0,0,True,False,267.0,180.0
1626234,19,6.53,3,1,0,124,7,3,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672433,2026-08-11T18:41:06Z,1,93,True,Caught,10322.0,Tom Lawes,13841,Josh Tongue,10322,Tom Lawes,2672,Brydon Carse,Right,Extra Cover,0,0,0,0,Caught,LengthBall,OutsideOff,Caught,MisTimed,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,1840.0,False,False,True,False,False,False,0,0,0,0,0,False,True,235.0,86.0
1626234,19,6.53,3,1,0,124,7,3,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672434,2026-08-11T18:42:22Z,2,94,False,,,,13841,Josh Tongue,2673,Matthew Potts,2672,Brydon Carse,Right,Extra Cover,0,0,0,0,,LengthBall,OutsideOff,,None,FrontFoot,Pushed,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,220.0,54.0
1626234,19,6.53,3,1,0,124,7,3,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672435,2026-08-11T18:42:56Z,3,95,False,,,,13841,Josh Tongue,2673,Matthew Potts,2672,Brydon Carse,Right,Deep Cover,1,0,1,1,,Yorker,Wide,,None,FrontFoot,Pushed,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,207.0,158.0
1626234,19,6.53,3,1,0,124,7,3,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672436,2026-08-11T18:43:40Z,4,96,False,,,,13841,Josh Tongue,2672,Brydon Carse,2673,Matthew Potts,Right,Mid On,2,0,2,2,,HalfVolley,OutsideOff,,TopEdge,FrontFoot,Slog,SlowerBall,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,2,0,0,0,0,False,True,298.0,82.0
1626234,19,6.53,3,1,0,124,7,3,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672437,2026-08-11T18:44:17Z,5,97,False,,,,13841,Josh Tongue,2672,Brydon Carse,2673,Matthew Potts,Right,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,,Missed,BackFoot,Cut,OffCutter,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,,
1626235,20,6.35,3,3,0,127,10,3,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672438,2026-08-11T18:45:23Z,1,98,False,,,,7016,Gus Atkinson,2672,Brydon Carse,2673,Matthew Potts,Right,Deep Mid Wicket,2,0,2,2,,Yorker,LegStump,,None,BackFoot,Worked,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,2,0,0,0,0,False,False,315.0,167.0
1626235,20,6.35,3,3,0,127,10,3,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672439,2026-08-11T18:45:57Z,2,99,True,Caught,2672.0,Brydon Carse,7016,Gus Atkinson,2672,Brydon Carse,2673,Matthew Potts,Right,Deep Mid Wicket,0,0,0,0,Caught,Short,OutsideOff,Caught,WellTimed,BackFoot,Pull,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,1840.0,False,False,True,False,False,False,0,0,0,0,0,False,False,315.0,169.0
1626235,20,6.35,3,3,0,127,10,3,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672440,2026-08-11T18:47:08Z,3,100,True,Caught,3531.0,Nathan Ellis,7016,Gus Atkinson,3531,Nathan Ellis,2673,Matthew Potts,Right,Extra Cover,0,0,0,0,Caught,Short,OutsideOff,Caught,TopEdge,BackFoot,Pull,SlowerBall,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,1840.0,False,False,True,False,False,False,0,0,0,0,0,False,True,229.0,72.0
1626235,20,6.35,3,3,0,127,10,3,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672441,2026-08-11T18:48:33Z,4,101,False,,,,7016,Gus Atkinson,10733,Abrar Ahmed,2673,Matthew Potts,Right,Bowler,1,0,1,1,,Yorker,OffStump,,MisTimed,DownTheTrack,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,,
