over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,matchName
1602533,6,9.83,5,0,0,59,0,5,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530543,2026-06-26T01:55:08Z,6,37,False,,,,3479,Saurabh Netravalkar,4482,Shayan Jahangir,1838,Tim Seifert,0.0,0.0,Right,Wicketkeeper,0,0,0,0,,BackOfALength,DownLeg,,Missed,BackFoot,Pull,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602534,7,8.71,2,1,0,61,1,2,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530544,2026-06-26T01:56:20Z,1,38,True,Caught,1838.0,Tim Seifert,499,Ian Holland,1838,Tim Seifert,4482,Shayan Jahangir,276.0,20.0,Right,Bowler,0,0,0,0,Caught,LengthBall,OutsideOff,Caught,MisTimed,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,True,
1602534,7,8.71,2,1,0,61,1,2,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530545,2026-06-26T01:57:52Z,2,39,False,,,,499,Ian Holland,2615,Matthew Breetzke,4482,Shayan Jahangir,193.0,120.0,Right,Deep Cover,1,0,1,1,,BackOfALength,OutsideOff,,None,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,
1602534,7,8.71,2,1,0,61,1,2,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530546,2026-06-26T01:58:25Z,3,40,False,,,,499,Ian Holland,4482,Shayan Jahangir,2615,Matthew Breetzke,0.0,0.0,Right,Wicketkeeper,0,0,0,0,,BackOfALength,OutsideOff,,Missed,DownTheTrack,Pushed,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,
1602534,7,8.71,2,1,0,61,1,2,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530547,2026-06-26T01:58:53Z,4,41,False,,,,499,Ian Holland,4482,Shayan Jahangir,2615,Matthew Breetzke,0.0,0.0,Right,Wicketkeeper,0,0,0,0,,BackOfALength,OutsideOff,,Missed,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,
1602534,7,8.71,2,1,0,61,1,2,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530548,2026-06-26T01:59:21Z,5,42,False,,,,499,Ian Holland,4482,Shayan Jahangir,2615,Matthew Breetzke,281.0,110.0,Right,Long On,1,0,1,1,,BackOfALength,OutsideOff,,None,FrontFoot,Pushed,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,
1602534,7,8.71,2,1,0,61,1,2,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530549,2026-06-26T01:59:53Z,6,43,False,,,,499,Ian Holland,2615,Matthew Breetzke,4482,Shayan Jahangir,173.0,65.0,Right,Backward Point,0,0,0,0,,BackOfALength,OutsideOff,,None,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,
1602535,8,8.38,6,1,0,67,2,6,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530550,2026-06-26T02:00:51Z,1,44,False,,,,2705,Marco Jansen,4482,Shayan Jahangir,2615,Matthew Breetzke,201.0,58.0,Right,Cover,0,0,0,0,,LengthBall,OutsideOff,,None,BackFoot,Dropped,NoMovement,Round,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,
1602535,8,8.38,6,1,0,67,2,6,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530551,2026-06-26T02:01:21Z,2,45,False,,,,2705,Marco Jansen,4482,Shayan Jahangir,2615,Matthew Breetzke,0.0,0.0,Right,Wicketkeeper,0,1,1,0,,BackOfALength,OutsideOff,,Missed,BackFoot,Pull,NoMovement,Round,FastSeam,Left,Null,NotReferred,Null,False,False,False,True,False,True,False,False,False,False,False,False,1,0,0,1,0,False,False,
1602535,8,8.38,6,1,0,67,2,6,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530552,2026-06-26T02:01:59Z,3,46,False,,,,2705,Marco Jansen,2615,Matthew Breetzke,4482,Shayan Jahangir,192.0,45.0,Right,Cover,1,0,1,1,,LengthBall,OutsideOff,,None,FrontFoot,Dropped,NoMovement,Round,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,
