over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId
75476,9,6.59,1.0,0.0,0.0,1.0,56.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:50:16Z,4,False,1485,Andre Russell,883,Hashim Amla,729,Quinton de Kock,179,68,Left,Point,0,0,0,0,LengthBall,Null,Played,0,Pushed,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,0,0,0,0,0,False,False,
75476,9,6.59,1.0,0.0,0.0,1.0,56.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:50:47Z,5,False,1485,Andre Russell,883,Hashim Amla,729,Quinton de Kock,75,141,Left,Fine Leg,1,0,1,1,Short,Null,MisTimed,0,Pull,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,1,0,0,0,0,False,False,
75476,9,6.59,1.0,0.0,0.0,1.0,56.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:51:30Z,6,False,1485,Andre Russell,729,Quinton de Kock,883,Hashim Amla,180,61,Right,Square Leg,0,0,0,0,LengthBall,Null,Played,0,Worked,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,0,0,0,0,0,False,False,
75477,10,6.42,6.0,0.0,0.0,6.0,62.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:52:31Z,1,False,628,Jason Holder,883,Hashim Amla,729,Quinton de Kock,189,44,Left,Point,0,0,0,0,LengthBall,Null,Played,0,BackwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,0,0,0,0,0,False,False,
75477,10,6.42,6.0,0.0,0.0,6.0,62.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:53:02Z,2,False,628,Jason Holder,883,Hashim Amla,729,Quinton de Kock,270,40,Left,Bowler,0,0,0,0,BackOfALength,Null,Played,0,BackwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,0,0,0,0,0,False,False,
75477,10,6.42,6.0,0.0,0.0,6.0,62.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:53:33Z,3,False,628,Jason Holder,883,Hashim Amla,729,Quinton de Kock,224,190,Left,Deep Extra Cover,4,0,4,4,LengthBall,Null,Played,0,Pushed,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,4,0,0,0,0,False,True,
75477,10,6.42,6.0,0.0,0.0,6.0,62.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T15:30:54Z,4,False,628,Jason Holder,883,Hashim Amla,729,Quinton de Kock,202,65,Left,Cover,1,0,1,1,LengthBall,Null,Played,0,Pushed,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,87,False,False,False,False,False,False,1,0,0,0,0,False,False,
75477,10,6.42,6.0,0.0,0.0,6.0,62.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T15:31:36Z,5,False,628,Jason Holder,729,Quinton de Kock,883,Hashim Amla,90,48,Right,Wicketkeeper,0,0,0,0,LengthBall,Null,NoShot,0,Leave,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,87,False,False,False,False,False,False,0,0,0,0,0,False,False,
75477,10,6.42,6.0,0.0,0.0,6.0,62.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T15:32:07Z,6,False,628,Jason Holder,729,Quinton de Kock,883,Hashim Amla,130,139,Right,Fine Leg,1,0,1,1,LengthBall,Null,Edged,0,ForwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,87,False,False,False,False,False,False,1,0,0,0,0,False,False,
75482,11,6.48,10.0,0.0,0.0,10.0,72.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T15:33:16Z,1,False,1485,Andre Russell,729,Quinton de Kock,883,Hashim Amla,167,100,Right,Backward Square Leg,1,0,1,1,BackOfALength,Null,MisTimed,0,Pull,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,False,False,False,False,1,0,0,0,0,False,False,
