over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
86077,39,5.53,7.0,0.0,1.0,213.0,3.0,7.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:22:35Z,3,False,676.0,Imran Tahir,635.0,Haris Sohail,568.0,Babar Azam,303.0,138.0,Right,Long Off,1.0,0,1,1.0,HalfVolley,MiddleStump,,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
86077,39,5.53,7.0,0.0,1.0,213.0,3.0,7.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:22:57Z,4,False,676.0,Imran Tahir,568.0,Babar Azam,635.0,Haris Sohail,197.0,72.0,Left,Cover,0.0,0,0,0.0,LengthBall,LegStump,,None,FrontFoot,Steer,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
86077,39,5.53,7.0,0.0,1.0,213.0,3.0,7.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:23:14Z,5,False,676.0,Imran Tahir,568.0,Babar Azam,635.0,Haris Sohail,90.0,48.0,Left,Wicketkeeper,1.0,1,1,0.0,LengthBall,DownLeg,,PlayAndMissLegSide,FrontFoot,Glance,LegSpinner,Over,LegSpin,Left,Null,Null,True,False,False,False,False,False,73.0,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,False,False,,,,
86077,39,5.53,7.0,0.0,1.0,213.0,3.0,7.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:23:32Z,5,False,676.0,Imran Tahir,568.0,Babar Azam,635.0,Haris Sohail,244.0,135.0,Left,Long Off,1.0,0,1,1.0,LengthBall,OffStump,,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
86077,39,5.53,7.0,0.0,1.0,213.0,3.0,7.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:23:53Z,6,False,676.0,Imran Tahir,635.0,Haris Sohail,568.0,Babar Azam,209.0,55.0,Right,Short Mid Wicket,0.0,0,0,0.0,LengthBall,OutsideOff,,None,BackFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
86080,40,5.49,4.0,0.0,1.0,217.0,3.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:25:06Z,1,False,674.0,Andile Phehlukwayo,568.0,Babar Azam,635.0,Haris Sohail,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,LengthBall,OutsideOff,,BottomEdge,FrontFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
86080,40,5.49,4.0,0.0,1.0,217.0,3.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:25:39Z,2,False,674.0,Andile Phehlukwayo,568.0,Babar Azam,635.0,Haris Sohail,90.0,48.0,Left,Wicketkeeper,1.0,1,1,0.0,LengthBall,MiddleStump,,PlayAndMissLegSide,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,True,False,False,False,False,False,75.0,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,False,False,,,,
86080,40,5.49,4.0,0.0,1.0,217.0,3.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:26:17Z,2,False,674.0,Andile Phehlukwayo,568.0,Babar Azam,635.0,Haris Sohail,37.0,124.0,Left,Fine Leg,1.0,0,1,1.0,Short,OutsideOff,,None,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
86080,40,5.49,4.0,0.0,1.0,217.0,3.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:27:08Z,3,False,674.0,Andile Phehlukwayo,635.0,Haris Sohail,568.0,Babar Azam,315.0,67.0,Right,Short Extra Cover,0.0,0,0,0.0,LengthBall,OutsideOff,,MisTimed,BackFoot,Drive,OffCutter,Round,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
86080,40,5.49,4.0,0.0,1.0,217.0,3.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:27:41Z,4,False,674.0,Andile Phehlukwayo,635.0,Haris Sohail,568.0,Babar Azam,31.0,126.0,Right,Third Man,1.0,0,1,1.0,LengthBall,OutsideOff,,None,FrontFoot,Steer,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
86080,40,5.49,4.0,0.0,1.0,217.0,3.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:28:14Z,5,False,674.0,Andile Phehlukwayo,568.0,Babar Azam,635.0,Haris Sohail,240.0,80.0,Left,Mid Off,1.0,0,1,1.0,LengthBall,OutsideOff,,None,FrontFoot,Drive,OffCutter,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
